日期	場次	班次	長度	分數範圍	場地	賽道	名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率	熱門	投注	皇牌	配備	操練	地點  度地儀	P賠率	P賠率2	P賠率3	Queue賠率	PQ賠率	PQ賠率2 PQ賠率3
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	12	3	西夏之王(C295)	郭能	霍利時	130	1057	1	5-3/4	13 12 12	0:58.65	270	-	-	1	CP/TT		沙田	2.71							
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	13	12	豹子膽(C389)	梁家俊	徐雨石	122	1121	14	6-1/2	6 7 13	0:58.77	80	-	-	1	 		沙田	2.71							
2019/9/1	6	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	14	14	紅旗福星(B417)	黃皓楠	蘇偉賢	115	1135	10	8-1/4	7 6 14	0:59.06	231	-	-	1	TT		沙田	2.71							
2019/9/1	7	第三班	1200米	(80-60)	好地	草地 - "B" 賽道	1	3	金鎗六十(C238)	何澤堯	呂健威	130	1061	8	-	8 7 1	1:08.47	4.7	2nd Hot	-	1	 		沙田	2.71	14.5			35.5	17.5	94.5	
2019/9/1	7	第三班	1200米	(80-60)	好地	草地 - "B" 賽道	2	6	牛角仔(C234)	潘頓	蘇偉賢	126	1092	6	1-1/4	5 4 2	1:08.66	1.9	1st Hot	-	+ 1	 		沙田	2.71		10.1		35.5	17.5		58.5
2019/9/1	7	第三班	1200米	(80-60)	好地	草地 - "B" 賽道	3	7	一片光明(T268)	希威森	徐雨石	125	1003	5	2-1/2	3 3 3	1:08.87	25	-	-	1	 		沙田	2.71			45.0			94.5	58.5
2019/9/1	7	第三班	1200米	(80-60)	好地	草地 - "B" 賽道	4	4	開心好玩(B316)	黎海榮	沈集成	129	1137	1	3	2 1 4	1:08.93	5	-	-	+ 1	B/TT		沙田	2.71							
2019/9/1	7	第三班	1200米	(80-60)	好地	草地 - "B" 賽道	5	2	劍斷浪(V142)	蔡明紹	容天鵬	133	1167	7	3	1 2 5	1:08.95	16	-	-	1	 		沙田	2.71							
2019/9/1	7	第三班	1200米	(80-60)	好地	草地 - "B" 賽道	6	1	勇闖者(A030)	田泰安	蔡約翰	133	1097	9	3-1/4	9 9 6	1:08.99	44	-	-	+ 1	P/TT		沙田	2.71							
2019/9/1	7	第三班	1200米	(80-60)	好地	草地 - "B" 賽道	7	5	嘜誰嘜誰(C323)	杜美爾	告東尼	126	1168	2	4-1/2	7 8 7	1:09.18	96	-	-	1	B/TT		沙田	2.71							
2019/9/1	7	第三班	1200米	(80-60)	好地	草地 - "B" 賽道	8	9	瑩之光(B080)	莫雷拉	方嘉柏	117	1195	4	5-1/2	6 6 8	1:09.33	7.3	-	-	+ 1	B/TT		沙田	2.71							
2019/9/1	7	第三班	1200米	(80-60)	好地	草地 - "B" 賽道	9	8	原班人馬(C164)	巫顯東	葉楚航	117	1060	3	10-1/2	4 5 9	1:10.16	232	-	-	1	TT		沙田	2.71							
2019/9/1	8	第二班	1400米	(100-80)	好地	草地 - "B" 賽道	1	10	大金庫(C146)	梁家俊	高伯新	118	1086	3	-	3 4 3 1	1:21.34	29	-	-	+ 1	CP-/TT1		沙田	2.71	62.0			965.5	263.5	464.0	
2019/9/1	8	第二班	1400米	(100-80)	好地	草地 - "B" 賽道	2	2	百步穿雲(A165)	何澤堯	賀賢	130	1125	4	頸位	7 7 7 2	1:21.41	6.4	-	-	+ 1	H		沙田	2.71		21.0		965.5	263.5		118.0
2019/9/1	8	第二班	1400米	(100-80)	好地	草地 - "B" 賽道	3	8	美麗精神(B409)	巫顯東	告東尼	116	1273	1	1-1/2	2 3 4 3	1:21.57	10	-	-	1	CP/TT		沙田	2.71			35.5			464.0	118.0
2019/9/1	8	第二班	1400米	(100-80)	好地	草地 - "B" 賽道	4	9	蒙古王(A098)	希威森	徐雨石	119	1100	8	2	11 11 10 4	1:21.65	12	-	W P Big(PQ)	1	 		沙田	2.71							
2019/9/1	8	第二班	1400米	(100-80)	好地	草地 - "B" 賽道	5	11	幸福掌聲(C492)	莫雷拉	沈集成	118	1091	6	2-1/4	10 10 11 5	1:21.69	7.8	-	-	1	SR1/TT1		沙田	2.71							
2019/9/1	8	第二班	1400米	(100-80)	好地	草地 - "B" 賽道	6	6	駿皇綵(A170)	蔡明紹	約翰摩亞	121	1038	7	2-3/4	5 5 5 6	1:21.78	21	-	-	1	CP		沙田	2.71							
